name,typical_majors,all_eligible_classifications,typical_classifications,eligible_races,eligible_gender,eligible_sexuality,meeting_frequency,meeting_times,meeting_locations,dues_required,dues_cost,application_required,application_difficulty,time_commitment,member_count,club_type,competitive_or_non_competitive,leadership_roles_available,new_member_onboarding_process,typical_activities,required_skills,offered_skills_or_benefits,club_culture_style,inclusivity_focus,expected_member_traits,administrative_contact_info,website,national_local_affiliation,bio
Student-Athlete Advisory Committee,,,Undergraduate,,,,,,,No,,Yes,Medium,Medium,20-50,Other,No,Yes,,Social events,,Networking,Social,,Interest-driven,tamusaac@gmail.com,http://saac.tamu.edu,No,To enhance the representation of student-athletes participating in intercollegiate athletics as it relates to the university and the NCAA. The committee will strive to promote a positive forum of communication for student-athletes at Texas A&M University.
Students of Eastern Africa,,Undergraduate,Undergraduate,,,,,,,No,,No,Low,Low,0-20,Cultural,No,Yes,,Social events,,Networking,Social,,Interest-driven,tamusea23@gmail.com,https://tamusea23.wixsite.tamu,No,The mission of Texas A&M University's Students of Eastern Africa is to create a platform that embodies and unites the Eastern African community together by celebrating Eastern African heritage through various cultural and collegiate enhancing experiences that will strengthen members' personal and professional relationships.
Students Providing Aid,,Undergraduate,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Service,No,Yes,,"Volunteering, Projects",,"Networking, Leadership development",Social,,Interest-driven,,https://spaidtamu.wixsite.tamu,No,"SPAid (Students Providing Aid) is dedicated to improving global health by empowering students to construct and distribute kid-friendly first aid kits to underserved communities. We aim to address healthcare access gaps through collaboration, education, and strategic partnerships, making a tangible impact."
SUITS,,Undergraduate,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Service,No,Yes,,Volunteering,,Networking,Social,,Interest-driven,suitsoftamu@gmail.com,http://www.aggiesuits.com,No,To pursue the excellence within every individual. Our overall goal is to grow together as individuals and provide our own unique contribution towards the College Station-Bryan area through selfless service.
Surrendered Apostolics Living Truth,,,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Service,No,Yes,,Volunteering,,Networking,Social,,Interest-driven,tamusalt@gmail.com,https://linktr.ee/salt.tamu,No,"Surrendered Apostolics Living Truth (SALT) is an on-campus Bible Study at Texas A&M University. We host outreach events, weekly Bible studies, community service opportunities, and on-campus services to spread the gospel to our campus."
Sustainable Agriculture Student Association,,,Undergraduate,,,,,,,,,No,Low,Medium,20-50,Service,No,Yes,,Volunteering,,Networking,Social,,Interest-driven,thehowdyfarm@gmail.com,https://sites.google.com/view/howdyfarm/,No,"The mission of the Howdy Farm (SASA) is to create a means for students at Texas A&M to experience, explore, share, and learn about sustainable agriculture. The purpose of the organization is to run the student farm program which provides experiential learning opportunities for students, an outdoor classroom for teaching and research, and a supply of locally grown organic produce to cafeterias on campus."
Swaram A Cappella,,,Undergraduate,South Asian,,,,,,,,No,Low,Medium,20-50,Cultural,No,Yes,,Social events,,Networking,Social,,Interest-driven,swaramacappella@gmail.com,https://www.facebook.com/swaramacappella,,Swaram is dedicated to promoting the art of a cappella music through the fusion of South Asian and Western cultural influences.
Walton Community Council,,,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Social,No,Yes,,Social events,,Networking,Social,,Interest-driven,mevans19@tamu.edu,https://rha.tamu.edu,No,"The Walton Hall Community Council serves as the representative leadership body for residents of Walton Hall at Texas A&M University. The council is dedicated to enhancing the residential experience through hall programming, student advocacy, and the promotion of Aggie traditions."
Tactical Athlete Research Unit,,,,,,,,,,,,No,Low,Medium,20-50,Other,No,Yes,,Projects,,"Networking, Mentorship",Professional,,Interest-driven,,,,"To enhance the health, performance, and protection of tactical personnel in the local Bryan and College Station area through pragmatic research, education, and consultation that is student-driven."
Taiwanese American Student Association,,Undergraduate,Undergraduate,,,,,,,No,,No,Low,Low,20-50,Cultural,No,Yes,,"Social events, Volunteering",,Networking,Social,,Interest-driven,tasatamc@gmail.com,https://tasatamu.weebly.com,,"The Taiwanese American Students Association is a social/cultural organization dedicated to providing a sense of community for Taiwanese Americans, as well as those interested in Taiwanese American culture."
Taiwanese Student Association,,Undergraduate,Undergraduate,Asian,,,,,,No,,No,Low,Medium,20-50,Cultural,No,Yes,,"Social events, Volunteering",,Networking,Social,,Interest-driven,taiwan.tamu.edu@gmail.com,https://taiwantamuedu.wixsite.com/tamu-tsa/about,No,"The Taiwanese Student Association promotes the understanding and awareness of Taiwan's culture, history, politics, society, and economics, fosters friendship between Taiwanese and other nationalities, and provides services among Taiwanese students at TAMU."
TAMSA Christian Medical and Dental Society,"Biology, Pre-Med, Health Sciences",,"Junior, Senior, Graduate",,,,,,,No,,No,Low,Medium,20-50,Professional,No,Yes,,Volunteering,,"Networking, Mentorship",Social,,Interest-driven,,http://medicine.tamhsc.edu/student-organization/chris-assoc.html,No,To seek Christ and share Him with others; to serve and encourage our classmates daily.
TAMSA Class of 2029,"Biology, Pre-Med, Health Sciences",,"Junior, Senior, Graduate",,,,,,,Yes,,No,Low,Medium,20-50,Professional,No,Yes,,Social events,,Networking,Social,,Interest-driven,,http://medicine.tamu.edu,No,The purpose of this organization is to represent the individual class of 2025 of the College of Medicine.
TAMSA Class of 2026,"Biology, Pre-Med, Health Sciences",,"Junior, Senior, Graduate",,,,,,,,,Yes,Medium,Medium,20-50,Professional,No,Yes,,Projects,,"Networking, Mentorship",Professional,,High commitment,,,,"Class Officers exist to organize, support, and provide leadership for the class."
TAMSA Class of 2027,"Biology, Pre-Med, Health Sciences",,"Junior, Senior, Graduate",,,,,,,No,,No,Low,Medium,0-20,Professional,No,Yes,,Social events,,Networking,Social,,Interest-driven,,http://medicine.tamu.edu,,The purpose of this organization is to represent the Class of 2027 of the College of Medicine.
TAMSA Class of 2028,"Biology, Pre-Med, Health Sciences",,"Junior, Senior, Graduate",,,,,,,Yes,,No,Low,Medium,20-50,Professional,No,Yes,,Social events,,Networking,Social,,Interest-driven,,http://medicine.tamu.edu,,The purpose of this organization is to represent the Class of 2024 of the College of Medicine.
TAMSA Emergency Medicine Interest Group,"Biology, Pre-Med, Health Sciences",,"Junior, Senior, Graduate",,,,,,,No,,No,Low,Medium,20-50,Professional,No,Yes,,Workshops,,"Networking, Mentorship",Professional,,Interest-driven,,,,"The Emergency Medicine Interest Group is a student-run organization that provides exposure to various aspects of emergency medicine to those students contemplating a career in emergency medicine. Through regular meetings, workshops, and lectures, we hope to foster an interest in emergency medicine."
TAMSA Executive Committee,"Biology, Pre-Med, Health Sciences",,"Junior, Senior, Graduate",,,,,,,,,No,Low,Medium,20-50,Professional,No,Yes,,Projects,,"Networking, Leadership development",Professional,,Interest-driven,,https://medicine.tamu.edu/academics/students/organizations/index.html,,The purpose of this organization shall be to serve as the overarching student government for The Texas A&M University College of Medicine. This organization shall represent the College of Medicine's Student Body and exercise its authority through the TAMSA Constitution.
TAMSA Internal Medicine Interest Group,"Biology, Pre-Med, Health Sciences",,"Junior, Senior, Graduate",,,,,,,No,,No,Low,Medium,20-50,Professional,No,Yes,,"Workshops, Social events",,"Networking, Mentorship",Social,,Interest-driven,,,,"The Internal Medicine Interest Group's (IMIG) purpose is to introduce the world of internal medicine and its countless possibilities to students. During the year, meetings are designed to spark student interest as well as provide an education in the field of internal medicine."
TAMSA Med Pride,"Biology, Pre-Med, Health Sciences",,"Junior, Senior, Graduate",,,Gay/Lesbian,,,,No,,No,Low,Medium,20-50,Professional,No,Yes,,"Social events, Networking",,"Networking, Mentorship",Social,,Interest-driven,medpridetamu@gmail.com,https://www.instagram.com/tamumedpride/,,"The objectives of this organization shall be to educate medical students and the community about the special health concerns of the LGBT sub-population of patients and to facilitate professional and social networking between LGBT physicians, medical students, and others in the Texas medical community."
TAMSA Ob/Gyn Interest Group,"Biology, Pre-Med, Health Sciences",,"Junior, Senior, Graduate",,,,,,,No,,No,Low,Medium,20-50,Professional,No,Yes,,"Workshops, Trips",,"Networking, Mentorship",Professional,,Interest-driven,aggieobgyn12@gmail.com,,,"The organization aims to provide outreach, education opportunities, resources, and a professional network for medical students regarding the field of Obstetrics & Gynecology."
TAMSA Orthopedic Surgery Interest Group,"Biology, Pre-Med, Health Sciences",,"Junior, Senior, Graduate",,,,,,,No,,No,Low,Medium,20-50,Professional,No,Yes,,Workshops,,"Networking, Mentorship",Professional,,Interest-driven,,http://medicine.tamu.edu,,"The TAMSA Orthopedic Surgery Interest Group serves medical students interested in orthopedic surgery by connecting them with residents and faculty, providing educational resources, and fostering research opportunities."
TAMSA Pediatric Interest Group,"Biology, Pre-Med, Health Sciences",,"Junior, Senior, Graduate",,,,,,,No,,No,Low,Medium,20-50,Professional,No,Yes,,Volunteering,,"Networking, Mentorship",Professional,,Interest-driven,jennasturgeon@tamu.edu,,,"To promote the Pediatric specialty among medical students, help those interested learn more about the profession, gain experience for residency, and to support young patients through service."
TAMSA Physical Medicine and Rehabilitation Interest Group,"Biology, Pre-Med, Health Sciences",,"Junior, Senior, Graduate",,,,,,,No,,No,Low,Medium,0-20,Professional,No,Yes,,"Workshops, Social events",,"Networking, Mentorship",Professional,,Interest-driven,tamupmr@gmail.com,,,"To support, educate, and enrich the field of PM&R within the College of Medicine at Texas A&M. We aim to provide resources for trainees in order to provide opportunities to forge a path to a career as a physiatrist."
TAMSA Sports Medicine Interest Group,"Biology, Pre-Med, Health Sciences",,"Junior, Senior, Graduate",,,,,,,No,,No,Low,Medium,0-20,Professional,Yes,Yes,,Workshops,,"Networking, Mentorship",Professional,,Interest-driven,,,,The Texas A&M School of Medicine Sports Medicine Interest Group (SMIG) provides opportunities to learn about sports medicine for medical students who are interested in sports medicine related healthcare. The organization provides students with insight on Sports Medicine Fellowships and to inform students on the pathways that exist to pursue a career in sports medicine.
TAMSA Surgical Interest Group,"Biology, Pre-Med, Health Sciences",,"Junior, Senior, Graduate",,,,,,,,,No,Low,Medium,20-50,Professional,No,Yes,,"Workshops, Social events, Volunteering",,"Networking, Mentorship",Professional,,Interest-driven,,,,To get students interested in the field of surgery and help them find a place in the specialty.
TAMSA Texas Medical Association/American Medical Association,"Biology, Pre-Med, Health Sciences",,"Junior, Senior, Graduate",,,,,,,No,,No,Low,Medium,20-50,Professional,No,Yes,,"Volunteering, Projects",,"Networking, Leadership development",Professional,,Interest-driven,,http://www.texmed.org,Yes,"The TMA/AMA Medical Student Section is dedicated to representing medical students, improving medical education, developing leadership, and promoting activism for the health of America. The organization is involved in community service projects, student leadership activities, and health care policy making efforts that will shape the future of medical practice."
TAMSA Women in Medicine,"Biology, Pre-Med, Health Sciences",,"Junior, Senior, Graduate",,Women,,,,,No,,No,Low,Medium,20-50,Professional,No,Yes,,"Workshops, Projects",,"Networking, Mentorship",Professional,,Interest-driven,,https://medicine.tamu.edu/academics/students/organizations/index.html,,"Help support and provide awareness of women and women's issues in medicine through projects, speakers, workshops, and charity work. Our organization is composed of Texas A&M College of Medicine medical students."
TAMSOD Music Society,,,Undergraduate,,,,,,,No,,No,Low,Medium,0-20,Creative,No,Yes,,Social events,,Networking,Social,,Interest-driven,,,,"TAMSOD Music Society serves to promote positive mental health, creativity, and students' passion for music. We encourage students to practice their respective musical fields, in order to publicly perform for the general student body."
TAMU ARTISTS,"Art, Design, Architecture",,Undergraduate,,,,,,,,,No,Low,Medium,20-50,Creative,No,Yes,,"Workshops, Social events, Volunteering",,"Networking, Mentorship",Social,,Interest-driven,tamuartists@gmail.com,http://tamuartists.wix.com/artists,No,"We are a community of creative Christians focused on promoting creative expression that points to God, fostering a beneficial learning environment, and preparing students to use their talents for Christ."
TAMU Associated General Contractors,,,"Junior, Senior",,,,,,,Yes,,No,Low,Medium,20-50,Professional,No,Yes,,"Networking, Competitions, Volunteering",,"Networking, Leadership development",Professional,,Interest-driven,agc@agc.tamu.edu,,,"TAMU Associated General Contractors integrates the core elements of Skill, Responsibility, and Integrity to offer a unique environment for our members. Our organization provides networking and learning opportunities for members through industry relations, construction site visits, industry sponsored student competitions, service to our community, and recreational activities."
TAMU Badminton Club,,,All majors welcome,,,,,,,,,No,Low,Medium,20-50,Sports,Yes,Yes,Open,Competitions,,Networking,Social,,Interest-driven,bclub710@gmail.com,http://badmintonclub.tamu.edu,No,"The Texas A&M Badminton Club strives to provide a space for all badminton enthusiasts to enjoy, learn, and play badminton. There is no time commitment or skill level requirement to join the club."
TAMU Bee Veterinarians,,,"Junior, Senior, Graduate",,,,,,,No,,No,Low,Medium,0-20,Professional,No,Yes,,"Workshops, Projects",,"Networking, Mentorship",Professional,,Interest-driven,tamubeevets@gmail.com,https://www.instagram.com/tamubeevets/,,To encourage veterinary student involvement in the field of honey bee veterinary medicine and provide additional opportunities for its associates to gain professional knowledge in this field.
TAMU Campus Crusade for Christ,,,Undergraduate,,,,,,,No,,No,Low,Medium,50-100,Social,No,Yes,,"Social events, Volunteering, Trips",,"Networking, Mentorship",Social,,Interest-driven,aggiecru@cru.org,https://www.aggiecru.com,No,"Cru is a movement of students who are passionate about connecting people to Jesus Christ, building them up in their faith, and sending them out to be lifelong, Christ-centered laborers. We do this in 4 ways: monthly Cru-wide meetings, weekly small group Bible studies, conferences and retreats, and summer missions both overseas and in the US."
TAMU Chapter of the Agricultural Communicators of Tomorrow,,,"Junior, Senior",,,,,,,No,,No,Low,Medium,20-50,Professional,No,Yes,,"Workshops, Social events, Projects",,"Networking, Mentorship",Professional,,Interest-driven,kendal.brown@tamu.edu,https://www.facebook.com/TAMUACT/,,The objectives or goals of this organization shall be to stimulate interest in the profession of agricultural communications and to provide opportunities for practical experience in agricultural communications by encouraging members to participate in ACT at the local and national levels.
TAMU Chinese Language & Culture Club,,,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Cultural,No,Yes,Open,"Social events, Cultural exchanges",,Networking,Social,,Interest-driven,,,,"Founded in 2016, the TAMU Chinese Language & Culture Club primarily helps Mandarin learners practice their Mandarin and organizes language exchanges between Mandarin learners and English learners, facilitating cultural exchange between Chinese and Americans at A&M."
TAMU ColorStack,"Computer Science, Engineering",,"Junior, Senior, Graduate","Black, African American, Hispanic, Latino",,,,,,No,,No,Low,Medium,0-20,Professional,No,Yes,,"Workshops, Networking events",,"Networking, Mentorship",Professional,,Interest-driven,tamucolorstack@gmail.com,https://tamucolorstack.com/,Yes,"Founded in 2024, TAMU ColorStack is a student-led organization that supports all students pursuing careers in tech through community, resources, and professional development. As part of the national ColorStack network, we serve as a local hub for connection and growth."
TAMU Datathon,,,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Other,Yes,Yes,,Competitions,,Networking,Very active,,Interest-driven,connect@tamudatathon.com,http://www.tamudatathon.com,,"TAMU Datathon bands together data enthusiasts from across multiple disciplines, skill levels, and universities. We are coming together to solve real world challenges, learn about data science, hear from leaders in research, and compete for company and university prizes."
TAMU Gymnastics Club,,,All majors welcome,,,,,,,Yes,,No,Low,High,20-50,Sports,Yes,Yes,,Competitions,,Networking,Athletic,,Interest-driven,tamugymcopresident@gmail.com,http://www.tamugymnastics.org,No,The purpose shall be to provide an opportunity for any interested individuals to participate in recreational gymnastics and to provide a competitive gymnastics team representing TAMU.
TAMU Horticulture Club,,,Undergraduate,,,,,,,,,No,Low,Medium,20-50,Social,No,Yes,,"Social events, Workshops",,"Networking, Mentorship",Social,,Interest-driven,tamuhorticultureclub@gmail.com,,,"To promote a community that has a common love of horticulture. To develop and enhance the members’ horticultural skills through monthly meetings, informationals, Plant Identification study sessions, social events, scholarships, professional development opportunities, and more."
TAMU Hydraulics and Pneumatics Club,Engineering,,"Junior, Senior, Graduate",,,,,,,No,,No,Low,Medium,20-50,Professional,Yes,Yes,,Projects,,"Networking, Mentorship",Professional,,Interest-driven,TAMUFluidPower@outlook.com,https://www.instagram.com/tamu_fpc/,Yes,"The mission of the TAMU Fluid Power Club (TAMU FPC) is to provide engineering students with opportunities to learn about fluid power through industry nights, networking, projects, and research. The club aims to increase student awareness towards the uses of fluid power in industry while providing meaningful experience and industry contacts."
TAMU Iktara,,,Undergraduate,South Asian,,,,,,,,No,Low,Medium,20-50,Cultural,No,Yes,,"Social events, Cultural events, Performances",,"Networking, Leadership development",Social,,Interest-driven,tamu.iktara@gmail.com,,,"Iktara exists to celebrate and elevate South Asian arts and culture within Texas A&M University and beyond. By hosting collegiate-level dance teams from across the nation, Iktara provides a platform for artistic growth and creative expression."
TAMU Law National Lawyers Guild,"Pre-Law, Law",,"Junior, Senior, Graduate",,,,,,,Yes,,No,Low,Medium,20-50,Professional,No,Yes,,Projects,,Networking,Professional,,Interest-driven,texasamnlg@gmail.com,https://www.nlg.org/students/student-chapters/,Yes,"The National Lawyers Guild is an association dedicated to the need for basic change in the structure of our political and economic system. We seek to unite the lawyers, law students, legal workers, and jailhouse lawyers of America in an organization which shall function as an effective political and social force in the service of the people, to the end that human rights and the rights of ecosystems shall be regarded as more sacred than property interests."
TAMU Law Speaker's Bureau,"Pre-Law, Law",,"Junior, Senior, Graduate",,,,,,,No,,No,Low,Medium,20-50,Professional,No,Yes,,Workshops,,"Networking, Leadership development",Professional,,Interest-driven,tamuspeakers.bureau@gmail.com,,,TAMU Law Speakers' Bureau provides Texas A&M University School of Law students and faculty a forum for developing public speaking skills and developing a professional stage presence.
TAMU Maaya,,,All majors welcome,South Asian,,,,,,,,Yes,High,High,20-50,Cultural,Yes,Yes,,Competitions,,Networking,Very active,,High commitment,,,,"At TAMU Maaya, we strive to push the limits of dance by combining bollywood, classical, and contemporary dance styles in a dynamic way. As Texas A&M University's premiere competitive Bollywood dance team, we are committed to celebrating cultural diversity, artistic expression, and relentless passion for dance."
TAMU Microbiology Club,"Biology, Pre-Med, Health Sciences",,All majors welcome,,,,Bi-weekly,,,No,,No,Low,Medium,20-50,Academic,No,Yes,,"Workshops, Social events",,"Networking, Mentorship",Social,,Interest-driven,sonrisa.jones_tamu@tamu.edu,,,"Our purpose as an organization is to create a community for those passionate, curious, or just newly interested in the world of microbiology and to be a source for learning about the field of study and all that is involved with it here at Texas A&M and beyond."
TAMU Navigators,,,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Social,No,Yes,,"Social events, Volunteering",,"Networking, Mentorship",Social,,Interest-driven,aggienavs@gmail.com,https://aggienavs.org,No,"The purpose of the Aggie Navs is to further students in developing a knowledge and relationship with Jesus Christ, to give a practical understanding of the Bible, and to make disciples of all nations."
TAMU Nutrition and Dietetic Association,Nutrition,,"Junior, Senior, Graduate",,,,,,,No,,No,Low,Medium,20-50,Professional,No,Yes,,"Workshops, Social events, Volunteering",,"Networking, Mentorship",Social,,Interest-driven,,https://tamunutrition.wixsite.com/tamunda,,"The purpose of NDA is to provide a framework for meaningful student involvement, to stimulate interest in the field of Nutrition, and to offer a network group for future job opportunities."
TAMU Omega Phi Gamma,,Undergraduate,Undergraduate,Asian-American,,,,,,No,,No,Low,Low,20-50,Cultural,No,Yes,,"Social events, Fundraisers, Service",,"Networking, Leadership development",Social,,Interest-driven,am.omegaphigamma@gmail.com,http://tamuomegas.com,No,"The mission of Omega Phi Gamma is to provide membership bonding and leadership opportunities by educating new or existing Asian-American students about the culture of Texas A&M and by promoting Asian-Americans awareness through social events, fundraisers, and service activities in order to overcome the barriers caused by race."
TAMU Powerlifting Club,,,Undergraduate,,,,,,,,,No,Low,High,20-50,Sports,Yes,Yes,,Competitions,,Networking,Athletic,,High commitment,tamupl@gmail.com,http://aggiepowerlifting.com,,The purpose of this organization shall be to provide an opportunity for members to compete in intercollegiate powerlifting competitions while representing Texas A&M.
TAMU SAE AERO Design Team,Engineering,Undergraduate,"Junior, Senior",,,,,,,No,,Yes,Medium,Medium,20-50,Academic,Yes,Yes,,"Competitions, Projects",,"Technical skills, Leadership development",Very active,,High commitment,tamusaeaerodesign@gmail.com,http://tamusaeaero.org,No,"The mission of the SAE AERO Design Team is to design, analyze, and build a functioning aircraft to WIN the SAE AERO Design Competition."
TAMU Sahithya,,,Undergraduate,South Asian,,,,,,No,,Yes,High,Medium,20-50,Cultural,Yes,Yes,,Competitions,,Networking,Social,,Interest-driven,tamusahithya@gmail.com,http://sahithya.tamu.edu,No,The mission on TAMU Sahithya is to spread awareness of Indian culture to Texas A&M University through various forms of traditional Indian classical dance. Our goal is to encourage the understanding of this art form through inter-collegiate competitions and organized events.
TAMU Skaters,,,Undergraduate,,,,,,,,,No,Low,Medium,20-50,Social,No,Yes,,"Volunteering, Workshops",,Networking,Social,,Interest-driven,tamu.skaters@gmail.com,,,The mission of TAMU Skaters is to promote a friendly environment for all those interested in skateboarding and a place for people to meet and teach others how to skateboard. We strive to help all overcome the initial fears of skateboarding and promote skateboarding as a safe and fun way to exercise.
TAMU Student Chapter: Society of American Foresters,,,"Junior, Senior, Graduate",,,,,,,,,No,Low,Medium,20-50,Professional,No,Yes,,"Volunteering, Projects",,"Networking, Mentorship",Professional,,Interest-driven,tamu.forestryclub@gmail.com,http://eccb.tamu.edu,Yes,"As a recognized student chapter of the Society of American Foresters, the Texas A&M Chapter seeks to incorporate professional and academic development aspects of SAF with the traditions and camaraderie for which Aggies are known."
TAMU Students for Refugees,,,Undergraduate,,,,,,,,,No,Low,Medium,20-50,Service,No,Yes,,Volunteering,,Mentorship,Social,,Interest-driven,,,,"The Texas A&M chapter of Students for Refugees raises awareness and fosters education about the global refugee crisis. The organization engages in volunteerism, advocacy, and community involvement to support vulnerable refugee populations."
TAMU SVM Class of 2026,,Undergraduate,"Junior, Senior",,,,,,,No,,No,Low,Medium,20-50,Service,No,Yes,,"Social events, Community service opportunities, Educational opportunities",,Networking,Social,,Interest-driven,,,,"The purpose of the TAMU SVM Officer Team of the Class of 2026 is to serve as representatives for the Texas A&M University School of Veterinary Medicine and Biomedical Sciences. The team aims to foster community through various activities including fundraising, social events, community service opportunities, and educational opportunities."
TAMU Swiftie Society,,,Undergraduate,,,,,,,,,No,Low,Low,20-50,Social,No,Yes,,Social events,,"Networking, Leadership development",Social,,Interest-driven,,,,"The purpose of this organization is to highlight the impacts of Taylor Swift in pop culture and on an international scale as she brings a diverse group of people together through her personality and music. This organization is not just a fan club; it discusses her influence on artist's rights, social issues, and gender equality."
TAMU Target Archers,,,,,,,,,,Yes,,No,Low,High,20-50,Sports,Yes,Yes,,Competitions,,"Networking, Mentorship",Athletic,,High commitment,tamuarchery@gmail.com,http://recsports.tamu.edu/archery,No,The main purpose for our student organization is to develop champions in both the classroom and at the archery range. To keep the winning tradition we have established goals for our team to constantly reach for.
TAMU VCOM Chapter of Ruth Jackson Orthopaedic Society,"Biology, Pre-Med, Health Sciences",,"Junior, Senior, Graduate",,Women,,,,,No,,No,Low,Medium,0-20,Professional,No,Yes,,"Workshops, Social events, Volunteering",,"Networking, Mentorship",Professional,,Interest-driven,,,,"The Texas A&M VCOM Chapter of the Ruth Jackson Orthopedic Society exists to empower and support women in orthopaedic surgery through mentorship, education, and advocacy. Inspired by Dr. Ruth Jackson’s pioneering legacy, our chapter fosters a collaborative community that promotes professional development, hands-on skill acquisition, and inclusive leadership."
TAMUHack,"Computer Science, Engineering",,Undergraduate,,,,,,,No,,No,Low,Medium,100+,Other,Yes,Yes,,Competitions,,"Networking, Technical skills",Very active,,Interest-driven,officialtamuhack@gmail.com,http://tamuhack.com,,"Founded in 2014, TAMUHack promotes innovation outside the classroom and hosts the largest hackathons in Texas every year."
tamusic club,,,All majors welcome,,,,,,,,,No,Low,Medium,20-50,Social,No,Yes,,Projects,,Networking,Social,,Interest-driven,tamusicofficialclub@gmail.com,https://linktr.ee/tamusicclub,No,"To foster a musical community in which students at Texas A&M can collaborate with each other on projects, live performance opportunities, and network amongst musicians."
Task Consulting,"Business, Finance, Accounting, Marketing, Economics",,"Junior, Senior, Graduate",,,,,,,,,No,Low,Medium,20-50,Professional,No,Yes,,Projects,,"Networking, Mentorship",Professional,,Interest-driven,tasktamu@tamu.edu,http://TaskConsulting.org,,"Our mission is to shape the future of business by equipping students with immersive, real-world consulting experiences. We are committed to delivering meaningful impact across our community through pro-bono consulting services, empowering our members, and engaging the broader student body through our annual consulting-focused recruitment events."
Tau Beta Pi Association Texas Delta Chapter,Engineering,,"Junior, Senior, Graduate",,,,,,,Yes,,Yes,High,Medium,20-50,Professional,No,Yes,,Volunteering,,"Networking, Mentorship",Professional,,High commitment,bjdunbar@tamu.edu,,Yes,Tau Beta Pi is the national engineering honor society representing all engineering disciplines. It was founded on the belief that an engineer's education should comprise more than academics.
Tau Kappa Epsilon,,Undergraduate,Undergraduate,,Men,,,,,Yes,,Yes,High,Medium,100+,Social,No,Yes,,Volunteering,,"Networking, Mentorship",Social,,Interest-driven,aggietke@gmail.com,http://www.tke.org,Yes,"Our mission is to aid men in their mental, moral, and social development for life. Tau Kappa Epsilon creates lifelong relationships that enhance educational, interpersonal, community and professional success."
Tau Sigma Delta,"Architecture, Landscape Architecture, Design",,"Junior, Senior, Graduate",,,,,,,Yes,,Yes,Medium,Medium,20-50,Academic,No,Yes,,Projects,,"Networking, Mentorship",Academic-focused,,High commitment,tausigmadelta@arch.tamu.edu,https://getinvolved.tamu.edu/org/tsd,No,"Tau Sigma Delta's primary objective is to celebrate excellence in scholarship, stimulate mental achievement, and award those students who attain high scholastic standing of membership in Architecture, Landscape Architecture, and the allied arts of Design by the rewards of membership in an honor society."
Tax Law Society,"Pre-Law, Law",,"Junior, Senior, Graduate",,,,,,,No,,No,Low,Medium,20-50,Professional,No,Yes,,Networking,,Networking,Professional,,Interest-driven,tamulaw.tls@gmail.com,,,The purpose of the organization shall be to promote tax law education and career-related opportunities available to Texas A&M University School of Law students. The Tax Law Society is dedicated to providing its members with opportunities to interact and network with tax lawyers and other professionals in the Dallas and Fort Worth business communities.
Team 12,,,Undergraduate,,,,,,,,,Yes,Medium,Medium,20-50,Service,No,Yes,,Volunteering,,Networking,Social,,Interest-driven,t12president@gmail.com,https://www.aggieteam12.com,No,"The organization’s purpose shall be to assist with special events and general administrative tasks for the Texas A&M Lettermen's Association, Texas A&M Football, Texas A&M Basketball and Texas A&M Department of Athletics."
Technology Law Initiative,"Pre-Law, Law",,"Junior, Senior, Graduate",,,,,,,No,,No,Low,Medium,0-20,Professional,No,Yes,,Workshops,,"Networking, Mentorship",Professional,,Interest-driven,,,,"Our purpose is to support students at Texas A&M School of Law in pursuing legal careers in technology related areas of the law including data privacy, cybersecurity, technology transactions and related fields; and in gaining exposure to emerging trends in law related to those areas."
Technology Management Society,,,"Junior, Senior, Graduate",,,,,,,,,No,Low,Medium,20-50,Professional,No,Yes,,"Workshops, Social events",,"Networking, Mentorship",Professional,,Interest-driven,tcmgsociety@gmail.com,https://tcmgsociety.github.io,,The purpose of the Technology Management Society is to assist students in the technology management major connect with the faculty and staff. TMS will help students get information about the state of the major and any future changes.
Technology Services - Enterprise Application Services - Student Affairs,,,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Other,No,Yes,,Social events,,Networking,Social,,Interest-driven,,https://studentaffairs.tamu.edu/it/,No,Technology Services - Enterprise Application Services - Student Affairs at Texas A&M University provides support and resources for students interested in technology and applications.
Terry Foundation Student Organization,,Undergraduate,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Social,No,Yes,,"Social events, Volunteering",,Mentorship,Social,,Interest-driven,tamuterrys@gmail.com,https://sites.google.com/view/tamu-terrys/home,No,"To encourage interaction within the Terry Scholar community at Texas A&M University and around the state of Texas and to promote scholar involvement and service to the campus and greater community. Additionally, we support students in their first year at TAMU through the ""Terrys Teaching Other Terrys"" mentorship program."
